aarch64: en.wikipedia.org/wiki/AArch64
adonisjs: adonisjs.com
aftereffects: adobe.com/ca/products/aftereffects.html
akka: akka.io
algolia: algolia.com
alpinejs: alpinejs.dev
aws: aws.amazon.com/
anaconda: anaconda.com
android: android.com
androidstudio: developer.android.com/studio
angular: angular.dev
ansible: ansible.com
antdesign: ant.design
apache: apache.org
airflow: airflow.apache.org
kafka: kafka.apache.org
spark: spark.apache.org
apl: aplwiki.com
appcelerator: axway.com/en/appcelerator-end-of-life
apple: apple.com/
appwrite: appwrite.io
archlinux: archlinux.org
arduino: arduino.cc
argocd: github.com/argoproj/argo-cd
astro: astro.build
atom: github.com/atom/atom
awk: gnu.org/software/gawk/manual/gawk.html
axios: axios-http.com
azure: azure.microsoft.com
azuredevops: azure.microsoft.com/products/devops
azuresqldatabase: learn.microsoft.com/en-us/azure/azure-sql/database/sql-database-paas-overview?view=azuresql
babel: babeljs.io
backbonejs: backbonejs.org
ballerina: ballerina.io
bamboo: atlassian.com/software/bamboo
bash: gnu.org/software/bash
beats: elastic.co/beats
bitbucket: bitbucket.org
blender: blender.org
bootstrap: getbootstrap.com
bower: bower.io
browserstack: browserstack.com
bulma: bulma.io
bun: bun.sh
cairo: cairographics.org
cakephp: cakephp.org
canva: canva.com
capacitor: capacitorjs.com
cassandra: cassandra.apache.org/_/index.html
centos: centos.org
ceylon: ceylon-lang.org
chrome: google.com/chrome
circleci: circleci.com
clarity: clarity-lang.org
clion: jetbrains.com/clion
clojure: clojure.org
clojurescript: clojurescript.org
cloudflare: cloudflare.com
cloudflareworkers: workers.cloudflare.com
cmake: cmake.org
codeac: codeac.io
codecov: about.codecov.io
codeigniter: codeigniter.com
codepen: codepen.io
coffeescript: coffeescript.org
composer: getcomposer.org
confluence: atlassian.com/software/confluence
consul: consul.io
contao: contao.org
corejs: github.com/zloirock/core-js
cosmosdb: learn.microsoft.com/en-us/azure/cosmos-db/introduction
couchdb: couchdb.apache.org
cpp: cplusplus.com
crystal: crystal-lang.org
csharp: learn.microsoft.com/en-us/dotnet/csharp
css: developer.mozilla.org/en-US/docs/Web/CSS
cucumber: cucumber.io
cypress: cypress.io
d3js: d3js.org
dart: dart.dev
datagrip: jetbrains.com/datagrip
dataspell: jetbrains.com/dataspell
dbeaver: dbeaver.io
debian: debian.org
deno: deno.com
devicon: devicon.dev
digitalocean: digitalocean.com
discordjs: discord.js.org
django: djangoproject.com
drf: django-rest-framework.org
docker: docker.com
doctrine: doctrine-project.org
dotnet: dotnet.microsoft.com
dotnetcore: dotnet.microsoft.com
dropwizard: dropwizard.io
drupal: drupal.org
eclipse: eclipseide.org
elasticsearch: elastic.co/enterprise-search
electron: electronjs.org
elixir: elixir-lang.org
elm: elm-lang.org
emacs: gnu.org/software/emacs
embeddedc: en.wikipedia.org/wiki/Embedded_C
emberjs: emberjs.com
envoy: envoyproxy.io
erlang: erlang.org
eslint: eslint.org
expressjs: expressjs.com
fastapi: fastapi.tiangolo.com
fastify: fastify.io
faunadb: fauna.com
feathersjs: feathersjs.com
fedora: getfedora.org
figma: figma.com
filezilla: filezilla-project.org
firebase: firebase.google.com
firefox: mozilla.org/firefox
flask: flask.palletsprojects.com
flutter: flutter.dev
fortran: fortran-lang.org
foundation: get.foundation
fsharp: fsharp.org
gatling: gatling.io
gatsby: gatsbyjs.com
gazebo: gazebosim.org
gcc: gcc.gnu.org
gentoo: gentoo.org
ghost: ghost.org
gimp: gimp.org
git: git-scm.com
gitbook: gitbook.com
github: github.com
githubactions: github.com/features/actions
githubcodespaces: github.com/features/codespaces
gitlab: about.gitlab.com
gitpod: gitpod.io
gitter: gitter.im
golang: go.dev
godot: godotengine.org
goland: jetbrains.com/go
google: google.com
gcd: cloud.google.com
gradle: gradle.org
grafana: grafana.com
grails: grails.org
graphql: graphql.org
groovy: groovy-lang.org
grunt: gruntjs.com
gulp: gulpjs.com
hadoop: hadoop.apache.org
handlebars: handlebarsjs.com
hardhat: hardhat.org
harvester: harvesterhci.io
haskell: haskell.org
haxe: haxe.org
helm: helm.sh
heroku: heroku.com
hibernate: hibernate.org
homebrew: brew.sh
html: developer.mozilla.org/en-US/docs/Glossary/HTML5
hugo: gohugo.io
ifttt: ifttt.com
illustrator: adobe.com/ca/products/illustrator.html
influxdb: influxdata.com
inkscape: inkscape.org
insomnia: insomnia.rest
intellij: jetbrains.com/idea
ionic: ionicframework.com
jaegertracing: jaegertracing.io
jamstack: jamstack.org
jasmine: jasmine.github.io
java: java.com
javascript: javascript.com
jeet: http://jeet.gs
jekyll: jekyllrb.com
jenkins: jenkins.io
jest: jestjs.io
jetbrains: jetbrains.com
jira: atlassian.com/software/jira
jiraalign: atlassian.com/software/jira/align
jquery: jquery.com/
json: json.org
jule: github.com/julelang/jule
julia: julialang.org
junit: junit.org/junit5
jupyter: jupyter.org
k3os: k3os.io
k3s: k3s.io/
kaggle: kaggle.com
karatelabs: karatelabs.io
karma: karma-runner.github.io/latest/index.html
keras: keras.io
kibana: elastic.co/kibana
knexjs: knexjs.org
knockout: knockoutjs.com
kotlin: kotlinlang.org
krakenjs: krakenjs.com
ktor: ktor.io
kubernetes: kubernetes.io
labview: ni.com/en-ca/shop/labview.html
laravel: laravel.com
latex: latex-project.org
less: lesscss.org
linux: linux.org
liquibase: liquibase.org
livewire: laravel-livewire.com
llvm: llvm.org
logstash: elastic.co/logstash
lua: lua.org
lumen: lumen.laravel.com
magento: business.adobe.com/products/magento/magento-commerce.html
markdown: markdownguide.org
materializecss: materializecss.com
materialui: mui.com
matlab: mathworks.com/products/matlab.html
matplotlib: matplotlib.org
maven: maven.apache.org
maya: autodesk.com/products/maya
meteorjs: meteor.com
microsoftsqlserver: microsoft.com/en-ca/sql-server
minitab: minitab.com
mobx: mobx.js.org
mocha: mochajs.org
modx: modx.com
moleculer: moleculer.services
mongodb: mongodb.com
mongoose: mongoosejs.com
moodle: moodle.org
msdos: en.wikipedia.org/wiki/MS-DOS
mysql: mysql.com
nano: nano-editor.org/
neo4j: neo4j.com
nestjs: nestjs.com
networkx: networkx.org
nextjs: nextjs.org
nginx: nginx.com
nhibernate: nhibernate.info
nim: nim-lang.org
nimble: nimble.directory
nixos: nixos.org
nodejs: nodejs.org
nodemon: nodemon.io
nodewebkit: nwjs.io
norg: github.com/nvim-neorg/neorg
npm: npmjs.com
nuget: nuget.org
numpy: numpy.org
nuxtjs: nuxtjs.org
objectivec: developer.apple.com/library/archive/documentation/Cocoa/Conceptual/ProgrammingWithObjectiveC
ocaml: ocaml.org
ohmyzsh: ohmyz.sh
okta: okta.com
openal: openal.org
openapi: openapis.org
opencl: khronos.org/opencl
opencv: opencv.org/
opengl: opengl.org
openstack: openstack.org
opensuse: opensuse.org
opentelemetry: opentelemetry.io
opera: opera.com
oracle: oracle.com
p5js: p5js.org
packer: packer.io
pandas: pandas.pydata.org
perl: perl.org
pfsense: pfsense.org
phalcon: phalcon.io
phoenix: phoenixframework.org
photonengine: photonengine.com
photoshop: adobe.com/products/photoshop.html
php: php.net
phpstorm: jetbrains.com/phpstorm
playwright: playwright.dev
plotly: plotly.com
podman: podman.io
poetry: python-poetry.org
polygon: polygon.technology
portainer: portainer.io
postcss: postcss.org
postgresql: postgresql.org
postman: postman.com
powershell: learn.microsoft.com/en-us/powershell
premierepro: adobe.com/products/premiere.html
processing: processing.org
prometheus: prometheus.io
protractor: protractortest.org
purescript: purescript.org
putty: putty.org
pycharm: jetbrains.com/pycharm
pyscript: pyscript.net
pytest: docs.pytest.org
python: python.org
pytorch: pytorch.org
qodana: jetbrains.com/qodana
qt: qt.io
quarkus: quarkus.io
quasar: quasar.dev
qwik: qwik.builder.io
r: r-project.org
rabbitmq: rabbitmq.com
rails: guides.rubyonrails.org
rancher: rancher.com
raspberrypi: raspberrypi.org
reach: reach.sh
react: reactjs.org
reactbootstrap: react-bootstrap.github.io
readthedocs: readthedocs.org
realm: realm.io
rect: rect.ml
redhat: redhat.com
redis: redis.com
redux: redux.js.org
renpy: renpy.org
rider: jetbrains.com/rider
rocksdb: rocksdb.org
rollup: rollupjs.org
ros: ros.org
rspec: rspec.info
rstudio: support--rstudio-com.netlify.app
ruby: ruby-lang.org
rubymine: jetbrains.com/ruby
rust: rust-lang.org
safari: apple.com/safari
salesforce: salesforce.com
sanity: sanity.io
sass: sass-lang.com
scala: http://scala-lang.org
scalingo: scalingo.com
scikitlearn: scikit-learn.org
sdl: wiki.libsdl.org/SDL2/FrontPage
selenium: selenium.dev
sema: semasoftware.com
sequelize: sequelize.org
shopware: shopware.com
shotgrid: shotgridsoftware.com
sketch: sketch.com
slack: slack.com
socketio: socket.io
solidity: docs.soliditylang.org
solidjs: solidjs.com
sonarqube: sonarsource.com/products/sonarqube
sourcetree: sourcetreeapp.com
splunk: splunk.com
spring: spring.io
spss: ibm.com/products/spss-statistics
sqlalchemy: sqlalchemy.org
sqldeveloper: oracle.com/ca-en/database/sqldeveloper
sqlite: sqlite.org/
